xc,yc,a,b,theta,xc,yc,a,b,theta
3712297.122606271,-6231996.862052908,50144196.13373294,50250949.46276766,-0.6197542470247016,-2611157.2333770315,3119342.7544604437,37048794.03839218,37644830.852679096,0.634262943905589
3362981.781478103,-6353797.264374468,50032721.49682162,50163579.80804089,-0.6858130101816186,-2373382.823348994,3165815.99921236,37184659.956316926,37765105.44773406,0.5801626707405223
3010928.4803235955,-6471634.3054935,50031775.18157447,50106441.081185296,-0.667576015434512,-2157636.2499060277,3227814.154340209,37295321.00760449,37915349.54026575,0.5156490625285237
2984951.93250007,-6329094.575953044,49843195.129408754,49952785.92745933,-0.6572714362164234,-2152313.215776105,3107284.208336292,37423666.76317114,38016736.03700278,0.5498907656480578
2972023.949465114,-6148393.380060711,49664798.42302693,49758032.862882726,-0.7871067247964374,-2164582.5232658433,2978964.6772258603,37549868.88203627,38123668.07954891,0.5636301266304772
2958338.229713204,-5964484.026127098,49480030.93209198,49584143.64319731,-0.6489958539559713,-2163337.916443965,2849079.1614919244,37681252.6582809,38227625.52305085,0.560084423530187
2952688.1110099764,-5828389.432149198,49320369.45402934,49435425.28837437,-0.7126746386267987,-2170635.9920938485,2733972.5515651326,37791435.080228776,38319367.40891666,0.5726473974980008
2961642.360960251,-5724014.09381212,49165524.20815547,49319370.66234767,-0.7599268020829664,-2176102.8977817753,2618642.4339085477,37890491.66125123,38382563.644350156,0.5988285731712784
2914254.9665702297,-5602158.526777899,49048867.953471184,49176976.83840504,-0.7839124779153958,-2161749.0081269033,2516186.93104068,38000188.87480743,38474284.450009525,0.608449419022137
2856015.633248904,-5468139.333297348,48881961.597767785,49023712.9499064,-0.6546540168148095,-2137493.6504035303,2424695.458217598,38123368.32298823,38614187.82024083,0.5973358614235292
2814882.1665878277,-5380057.3867845815,48768786.3392685,48910188.0677384,-0.6490713238768493,-2123028.423095409,2330858.2269462855,38221374.745750494,38697220.02172608,0.6302687091128387
