a,e,i,f,fuel
42650662.3257454,0.011466830292218082,0.003757273669428373,5.552010920967498,243.68862878978243
42696267.008791424,0.012035641045188604,0.004244765949268923,5.637656748116594,239.69777991473666
42716951.945310995,0.012045285942900563,0.004101407918502585,5.707060733417114,237.36850909888736
42764311.657814436,0.012928863445449298,0.003862924474720228,5.758654627812476,234.26572967469684
42805093.164806515,0.013497073627606207,0.003850389342346968,5.8272206371159525,232.0653936892747
42800374.68767508,0.013566768486605424,0.004023125334260501,5.796819455798208,228.7801949054002
42797759.42119878,0.013715197079788884,0.0035069889794981665,5.766824578691808,224.31352813541884
42802337.10817497,0.014065270563346917,0.0029914562624620334,5.739326554680436,219.51352813541882
42796159.70236426,0.01417395155936667,0.0025067575120610777,5.709842332571664,215.29084079563611
42798433.15888902,0.01428410972852307,0.0019951423391341987,5.707432425959661,212.33407594263548
42809492.683667205,0.014753003839166017,0.0014888527300709604,5.69338361639321,207.89057129919524
42814060.31660728,0.015161954222711299,0.0011119047829198107,5.669845857250953,203.47271238863465
42830079.27835707,0.01570773592204423,0.0006504933589337325,5.66585263378655,199.2960780650377
42834830.025896214,0.016142886948806574,0.0011107071738664866,5.645008232304927,194.4960780650377
42865671.86544979,0.016856870591311437,0.0006528600034960256,5.664275382136962,191.11544106304643
42863408.86442186,0.017126651194572618,0.00039756483278587606,5.643069148037505,186.64829280674456
42879105.89307705,0.01762123234793996,0.0006542975497579075,5.645873670289482,182.9366854339838
42880049.84408305,0.017983529467845965,0.0011117764993050572,5.627429875270556,178.3347320944071
42893969.36917404,0.01854539925791845,0.0010138019486216957,5.6231793894409945,175.27847379744054
42906059.748108394,0.019095982337343897,0.0012411017621915999,5.616884785588606,171.6875729829073
42911695.9718452,0.019594218507136277,0.0013089433668488576,5.6027970460002345,168.2672376185656
42916716.33234103,0.02008926604556857,0.001781158510585277,5.589407645414474,163.5951956301928
42904947.024420425,0.020202394007069656,0.00229042090720975,5.570545324177743,159.58744111359124
42921528.33263991,0.020828804590814702,0.0027595430038200907,5.572102990694955,155.50274079144006
42934631.91648786,0.021430416820042795,0.0032728072748738775,5.569530367925051,151.07949755489832
42987823.44062081,0.022273246339100813,0.003747644629668144,5.6194680743775685,146.99141154587275
43039884.91008661,0.023242717983343496,0.003549738385873828,5.657962198268638,143.9621456891299
43107661.88498905,0.02441048106484063,0.0038322485918458387,5.708760175526792,139.87533669769772
43144966.377391666,0.02494216581508262,0.0038147648954431814,5.746394429491696,138.09367995560177
43184609.44519102,0.02580001776129684,0.0032987925993898043,5.76478345648575,134.8799487143756
43255362.83799838,0.02707937441780999,0.0027866443567799333,5.808294560176567,130.09298422634612
43301968.07945873,0.02783654814468072,0.002594155572478595,5.844066992291582,127.47236802876006
43314917.996592104,0.02830497878748036,0.0028791675773569858,5.837124402641465,123.38359089195738
43335958.86260153,0.028896946296363774,0.002364888069168895,5.836680641997439,119.01175225079069
43350776.766709544,0.029404654955880842,0.001850990568094831,5.831586168847424,114.29161553680906
43340333.8451448,0.029255899607994556,0.0017275285568906298,5.8293150731416254,112.43211083710203
43354339.309697635,0.02976587457996215,0.001213788455018348,5.82363894238363,107.64852342903623
43309677.15242819,0.028761023049176503,0.0007924956230569657,5.822453762138151,103.87160203754911
43256366.32200063,0.02762121419032249,0.0002801224286630571,5.8149407791722565,99.36049545109282
43224980.31257219,0.027061786114255523,0.0005171903405197826,5.804794940993497,96.63765087425719
43181666.09429299,0.026199700212091833,0.0005800888108222726,5.794691820441512,93.95745125114928
43159230.52852743,0.02573496475003479,0.00045745977440961067,5.794183311520025,92.11633142530928
43122893.89831034,0.025080301150809444,5.39291140279695e-05,5.781279941453188,88.64726065695297
43099706.16255002,0.02475740144999521,0.00016921808141186524,5.768919507077027,86.6633457094432
